Province.State,Country.Region,DateCode,ReportTime,Confirmed,Deaths,Recovered,Existing
"",Afghanistan,X1.22.20,2020-01-22T06:00:00Z,0,0,0,0
"",Afghanistan,X1.23.20,2020-01-23T06:00:00Z,0,0,0,0
"",Afghanistan,X1.24.20,2020-01-24T06:00:00Z,0,0,0,0
"",Afghanistan,X1.25.20,2020-01-25T06:00:00Z,0,0,0,0
"",Afghanistan,X1.26.20,2020-01-26T06:00:00Z,0,0,0,0
"",Afghanistan,X1.27.20,2020-01-27T06:00:00Z,0,0,0,0
"",Afghanistan,X1.28.20,2020-01-28T06:00:00Z,0,0,0,0
"",Afghanistan,X1.29.20,2020-01-29T06:00:00Z,0,0,0,0
"",Afghanistan,X1.30.20,2020-01-30T06:00:00Z,0,0,0,0
"",Afghanistan,X1.31.20,2020-01-31T06:00:00Z,0,0,0,0
"",Afghanistan,X2.1.20,2020-02-01T06:00:00Z,0,0,0,0
"",Afghanistan,X2.10.20,2020-02-10T06:00:00Z,0,0,0,0
"",Afghanistan,X2.11.20,2020-02-11T06:00:00Z,0,0,0,0
"",Afghanistan,X2.12.20,2020-02-12T06:00:00Z,0,0,0,0
"",Afghanistan,X2.13.20,2020-02-13T06:00:00Z,0,0,0,0
"",Afghanistan,X2.14.20,2020-02-14T06:00:00Z,0,0,0,0
"",Afghanistan,X2.15.20,2020-02-15T06:00:00Z,0,0,0,0
"",Afghanistan,X2.16.20,2020-02-16T06:00:00Z,0,0,0,0
"",Afghanistan,X2.17.20,2020-02-17T06:00:00Z,0,0,0,0
"",Afghanistan,X2.18.20,2020-02-18T06:00:00Z,0,0,0,0
"",Afghanistan,X2.19.20,2020-02-19T06:00:00Z,0,0,0,0
"",Afghanistan,X2.2.20,2020-02-02T06:00:00Z,0,0,0,0
"",Afghanistan,X2.20.20,2020-02-20T06:00:00Z,0,0,0,0
"",Afghanistan,X2.21.20,2020-02-21T06:00:00Z,0,0,0,0
"",Afghanistan,X2.22.20,2020-02-22T06:00:00Z,0,0,0,0
"",Afghanistan,X2.23.20,2020-02-23T06:00:00Z,0,0,0,0
"",Afghanistan,X2.24.20,2020-02-24T06:00:00Z,1,0,0,1
"",Afghanistan,X2.25.20,2020-02-25T06:00:00Z,1,0,0,1
"",Afghanistan,X2.26.20,2020-02-26T06:00:00Z,1,0,0,1
"",Afghanistan,X2.27.20,2020-02-27T06:00:00Z,1,0,0,1
"",Afghanistan,X2.28.20,2020-02-28T06:00:00Z,1,0,0,1
"",Afghanistan,X2.29.20,2020-02-29T06:00:00Z,1,0,0,1
"",Afghanistan,X2.3.20,2020-02-03T06:00:00Z,0,0,0,0
"",Afghanistan,X2.4.20,2020-02-04T06:00:00Z,0,0,0,0
"",Afghanistan,X2.5.20,2020-02-05T06:00:00Z,0,0,0,0
"",Afghanistan,X2.6.20,2020-02-06T06:00:00Z,0,0,0,0
"",Afghanistan,X2.7.20,2020-02-07T06:00:00Z,0,0,0,0
"",Afghanistan,X2.8.20,2020-02-08T06:00:00Z,0,0,0,0
"",Afghanistan,X2.9.20,2020-02-09T06:00:00Z,0,0,0,0
"",Afghanistan,X3.1.20,2020-03-01T06:00:00Z,1,0,0,1
"",Afghanistan,X3.10.20,2020-03-10T05:00:00Z,5,0,0,5
"",Afghanistan,X3.11.20,2020-03-11T05:00:00Z,7,0,0,7
"",Afghanistan,X3.2.20,2020-03-02T06:00:00Z,1,0,0,1
